code,description,phenotype_description,phenotype_abbreviation,esc_complexity_classification,code_terminology
60787001,Congenital hypoplasia of aortic arch;Tubular hypoplasia of aortic arch;Tubular aortic arch hypoplasia,coarctation of aorta,COA,Moderate,SNOMED
70602002,"Pseudocoarctation of aorta;Pseudo-coarctation;""Pseudocoarctation of aorta, congenital""",coarctation of aorta,COA,Moderate,SNOMED
253678000,Thoracic aortic coarctation,coarctation of aorta,COA,Moderate,SNOMED
698643003,Balloon dilation of coarctation of aorta;Balloon dilatation of coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
15946006,Correction of coarctation of aorta with graft replacement,coarctation of aorta,COA,Moderate,SNOMED
274022008,Repair of coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
450312003,Coarctation of aorta between subclavian artery and common carotid artery,coarctation of aorta,COA,Moderate,SNOMED
43654001,Correction of coarctation of aorta with anastomosis,coarctation of aorta,COA,Moderate,SNOMED
448785002,Placement of stent at site of coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
428071007,History of coarctation of aorta repair;History of repair of coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
21234008,Congenital narrowed aorta;Congenital stricture of aorta;Congenital stenosis of aorta,coarctation of aorta,COA,Moderate,SNOMED
448067003,Recoarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
175339005,Hamilton subclavian flap operation;Hamilton repair of coarctation of aorta using subclavian flap;Repair of aorta with subclavian flap,coarctation of aorta,COA,Moderate,SNOMED
443829004,Percutaneous transluminal balloon angioplasty of aorta with stent placement for coarctation of aorta;Repair of coarctation of aorta using percutaneous transluminal balloon angioplasty with insertion of stent;Percutaneous transluminal balloon angioplasty of coarctation of aorta with insertion of stent,coarctation of aorta,COA,Moderate,SNOMED
447703009,Double aortic arch with left arch dominant and coarctation of right arch,coarctation of aorta,COA,Moderate,SNOMED
723867002,Coarctation of aortic arch,coarctation of aorta,COA,Moderate,SNOMED
443531001,Fluoroscopy guided percutaneous insertion of stent into coarctation of aorta;Percutaneous insertion of stent into coarctation of aorta using fluoroscopic guidance,coarctation of aorta,COA,Moderate,SNOMED
253661009,Double aortic arch with unilateral hypoplasia,coarctation of aorta,COA,Moderate,SNOMED
13867009,Preductal coarctation of aorta;Adult-type coarctation,coarctation of aorta,COA,Moderate,SNOMED
447846002,Obstruction of ascending aorta,coarctation of aorta,COA,Moderate,SNOMED
233965009,Stenosis of thoracic aorta,coarctation of aorta,COA,Moderate,SNOMED
450313008,Coarctation of aorta between left common carotid artery and right common carotid artery,coarctation of aorta,COA,Moderate,SNOMED
268184003,Hypoplastic aorta syndrome;Hypoplasia of aorta,coarctation of aorta,COA,Moderate,SNOMED
448646002,Aortic arch hypoplasia distal to subclavian artery;Isthmal hypoplasia of aorta,coarctation of aorta,COA,Moderate,SNOMED
26780008,Coarctation of pulmonary artery,coarctation of pulmonary artery,COP,Moderate,SNOMED
448637008,Coarctation of left pulmonary artery,coarctation of pulmonary artery,COP,Moderate,SNOMED
447903001,Coarctation of right pulmonary artery,coarctation of pulmonary artery,COP,Moderate,SNOMED
449099002,Left atrioventricular valve stenosis in double inlet ventricle;Left atrioventricular valvar stenosis in double inlet ventricle,double inlet left ventricle,DILV,Severe,SNOMED
472802009,Subpulmonary stenosis associated with functionally univentricular heart as complication of procedure,double inlet left ventricle,DILV,Severe,SNOMED
448729006,Common atrioventricular valve in functionally univentricular heart,double inlet left ventricle,DILV,Severe,SNOMED
446667008,Two atrioventricular valves in double inlet ventricle,double inlet left ventricle,DILV,Severe,SNOMED
447919008,Univentricular atrioventricular connection with absent right sided atrioventricular connection;Absent right sided atrioventricular connection - univentricular,double inlet left ventricle,DILV,Severe,SNOMED
448625006,Univentricular atrioventricular connection with absent left sided atrioventricular connection;Absent left sided atrioventricular connection - univentricular,double inlet left ventricle,DILV,Severe,SNOMED
472801002,Congenital subpulmonary stenosis due to restrictive ventricular defect associated with functionally univentricular heart,double inlet left ventricle,DILV,Severe,SNOMED
253280002,Abnormal atrioventricular connection - univentricular,double inlet left ventricle,DILV,Severe,SNOMED
445330003,Right atrioventricular valvar leaflets absent in double inlet ventricle (unguarded orifice);Right atrioventricular valve leaflets absent in double inlet ventricle (unguarded orifice),double inlet right ventricle,DIRV,Severe,SNOMED
233129000,Repair of double outlet left ventricle with right ventricle to pulmonary trunk conduit and ventricular septal defect closure,double outlet left ventricle,DOLV,Severe,SNOMED
7368005,Double outlet left ventricle;DOLV - Double outlet left ventricle;Origin of both great vessels from left ventricle,double outlet left ventricle,DOLV,Severe,SNOMED
233128008,DOLV - Repair of double outlet left ventricle;Repair of double outlet left ventricle,double outlet left ventricle,DOLV,Severe,SNOMED
233130005,Repair of double outlet left ventricle with direct right ventricle to pulmonary trunk anastomosis and ventricular septal defect closure,double outlet right ventricle,DORV,Severe,SNOMED
253299006,Double outlet right ventricle with noncommitted ventricular septal defect,double outlet right ventricle,DORV,Severe,SNOMED
448516008,Double outlet right ventricle of Fallot type;Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis,double outlet right ventricle,DORV,Severe,SNOMED
762251008,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect without pulmonary stenosis - ventricular septal defect type,double outlet right ventricle,DORV,Severe,SNOMED
427188004,Repair of double outlet right ventricle with intraventricular tunnel,double outlet right ventricle,DORV,Severe,SNOMED
447284002,Double outlet right ventricle with intact ventricular septum,double outlet right ventricle,DORV,Severe,SNOMED
703519007,Repair of double outlet right ventricle with anastomosis of left ventricle to aorta via ventricular septal defect and right ventricle to pulmonary trunk conduit,double outlet right ventricle,DORV,Severe,SNOMED
233126007,Repair of double outlet right ventricle;DORV - Repair of double outlet right ventricle,double outlet right ventricle,DORV,Severe,SNOMED
384646008,DORV - Operation for double outlet right ventricle;Operation for double outlet right ventricle;DOV - Operation for double outlet ventricle,double outlet right ventricle,DORV,Severe,SNOMED
44777001,Rastelli operation;Creation of shunt of right ventricle and distal pulmonary artery;Formation of conduit of right ventricle and distal pulmonary artery;Creation of conduit between right ventricle and pulmonary artery,double outlet right ventricle,DORV,Severe,SNOMED
449178002,Doubly committed ventricular septal defect in double outlet ventricle;Doubly committed ventricular septal defect in double outlet ventriculoarterial connection,double outlet right ventricle,DORV,Severe,SNOMED
233127003,Repair of double outlet right ventricle with anastomosis of left ventricle to aorta via ventricular septal defect and direct anastomosis of right ventricle to pulmonary trunk;Rev operation,double outlet right ventricle,DORV,Severe,SNOMED
448794008,Double outlet right ventricle with subpulmonary ventricular septal defect;Double outlet right ventricle of transposition type,double outlet right ventricle,DORV,Severe,SNOMED
7484005,"Double outlet right ventricle;""Double outlet right ventricle, unspecified"";Origin of both great vessels from right ventricle;DORV - Double outlet right ventricle;""Transposition of great vessels, interventricular septal defect AND overriding aorta"";Double outlet right ventricle NOS;Taussig-Bing syndrome;Taussig-Bing defect",double outlet right ventricle,DORV,Severe,SNOMED
253300003,Double outlet right ventricle with doubly committed ventricular septal defect,double outlet right ventricle,DORV,Severe,SNOMED
253301004,DOIV - Double outlet indeterminate ventricle;Double outlet from ventricle of indeterminate morphology,double outlet ventricle,DOV,Severe,SNOMED
427318004,Repair of double outlet ventricle;Repair of double outlet ventricle NOS;Other specified repair of double outlet ventricle,double outlet ventricle,DOV,Severe,SNOMED
449086000,Ebstein anomaly of left atrioventricular valve in functionally univentricular heart;Ebstein's anomaly of left atrioventricular valve in functionally univentricular heart,ebstein anomaly,EBS,Moderate,SNOMED
253443005,Ebstein anomaly of common atrioventricular valve;Ebstein's anomaly of common atrioventricular valve,ebstein anomaly,EBS,Moderate,SNOMED
253403000,Ebstein-like downward displacement of mitral valve,ebstein anomaly,EBS,Moderate,SNOMED
17394001,Ebstein anomaly with atrial septal defect;Ebstein's anomaly with atrial septal defect,ebstein anomaly,EBS,Moderate,SNOMED
232883007,Repair of Ebstein anomaly of atrioventricular valve;Repair of Ebstein's anomaly of atrioventricular valve,ebstein anomaly,EBS,Moderate,SNOMED
253496001,Ebstein anomaly of left atrioventricular valve;Ebstein's anomaly of left atrioventricular valve,ebstein anomaly,EBS,Moderate,SNOMED
449158005,Ebstein's anomaly of tricuspid valve with atrialisation of right ventricular chamber;Ebstein's anomaly of tricuspid valve with atrialization of right ventricular chamber;Ebstein anomaly of tricuspid valve with atrialization of right ventricular chamber;Ebstein anomaly of tricuspid valve with atrialisation of right ventricular chamber,ebstein anomaly,EBS,Moderate,SNOMED
253468007,Ebstein's anomaly of right atrioventricular valve;Ebstein anomaly of right atrioventricular valve,ebstein anomaly,EBS,Moderate,SNOMED
448074008,Ebstein anomaly with functional tricuspid stenosis;Ebstein's anomaly with functional tricuspid stenosis,ebstein anomaly,EBS,Moderate,SNOMED
174939008,Repositioning of tricuspid valve;Repair of Ebstein's anomaly of tricuspid valve;Repair of Ebstein anomaly of tricuspid valve,ebstein anomaly,EBS,Moderate,SNOMED
109431006,Ebstein-like malformation of the mitral valve,ebstein anomaly,EBS,Moderate,SNOMED
204357006,Ebsteins anomaly;Ebstein's anomaly;Ebstein's malformation of tricuspid valve;Ebstein's anomaly of tricuspid valve;Ebstein anomaly of tricuspid valve,ebstein anomaly,EBS,Moderate,SNOMED
447915002,Ebstein anomaly of left sided tricuspid valve with discordant atrioventricular connections;Ebstein's anomaly of left sided tricuspid valve with discordant atrioventricular connections,ebstein anomaly,EBS,Moderate,SNOMED
449087009,Ebstein anomaly of right atrioventricular valve in functionally univentricular heart;Ebstein's anomaly of right atrioventricular valve in functionally univentricular heart,ebstein anomaly,EBS,Moderate,SNOMED
14257002,Hypoplastic left heart operation;HLH - Hypoplastic left heart operation;Repair of hypoplastic left heart syndrome,hypoplastic left heart,HLH,Severe,SNOMED
427585005,Biventricular repair of hypoplastic left heart syndrome,hypoplastic left heart,HLH,Severe,SNOMED
447669002,Hypoplasia of left heart without intrinsic valve stenosis and without atresia,hypoplastic left heart,HLH,Severe,SNOMED
62067003,HLH - Hypoplastic left heart syndrome;HLHS - Hypoplastic left heart syndrome;Hypoplastic left heart syndrome,hypoplastic left heart,HLH,Severe,SNOMED
253521004,Hypoplasia of right ventricular outflow tract and trabecular area;RVOT - Hypoplasia of right ventricular outflow tract and trabecular area,hypoplastic right heart,HRH,Severe,SNOMED
268180007,Right hypoplastic heart syndrome;Pseudotruncus arteriosus,hypoplastic right heart,HRH,Severe,SNOMED
39589002,Hypoplasia of right heart,hypoplastic right heart,HRH,Severe,SNOMED
253520003,Hypoplasia of right ventricular outflow tract;RVOT - Hypoplasia of right ventricular outflow tract,hypoplastic right heart,HRH,Severe,SNOMED
2829000,Paper thin right ventricle;Hypoplasia of right ventricle;Uhl disease;Parchment right ventricle;Uhl's disease;Uhl's anomaly;Right ventricular hypoplasia;Uhl's disease,hypoplastic right heart,HRH,Severe,SNOMED
253662002,Double aortic arch with unilateral atresia,interrupted aortic arch,IAA,Severe,SNOMED
253682003,Interrupted aortic arch between left subclavian and left common carotid artery;Type B interrupted aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
426869003,Repair of interrupted aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
461562004,Atresia of aortic arch with fibrous cord,interrupted aortic arch,IAA,Severe,SNOMED
308679001,Resection of interrupted aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
253683008,Type C interrupted aortic arch;Interrupted aortic arch between left common carotid and brachiocephalic artery,interrupted aortic arch,IAA,Severe,SNOMED
472101004,Interruption of aortic arch distal to subclavian artery;Type A interruption of aortic arch distal to subclavian artery,interrupted aortic arch,IAA,Severe,SNOMED
461587006,Congenital luminal atresia of aortic arch distal to subclavian artery;Type A congenital luminal atresia of aortic arch distal to subclavian artery,interrupted aortic arch,IAA,Severe,SNOMED
253681005,Interrupted aortic arch distal to left subclavian artery;Type A interrupted aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
461557000,Congenital atresia of aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
253677005,Postductal interruption of aorta,interrupted aortic arch,IAA,Severe,SNOMED
472103001,Type C interruption of aortic arch between left common carotid artery and right common carotid artery;Interruption of aortic arch between left common carotid artery and right common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
472102006,Interruption of aortic arch between subclavian artery and common carotid artery;Type B interruption of aortic arch between subclavian artery and common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
461567005,Atresia of aortic arch with fibrous cord distal to subclavian artery;Type A atresia of aortic arch with fibrous cord distal to subclavian artery,interrupted aortic arch,IAA,Severe,SNOMED
461592008,Type B congenital luminal atresia of aortic arch between subclavian artery and common carotid artery;Congenital luminal atresia of aortic arch between subclavian artery and common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
461597002,Type C congenital luminal atresia of aortic arch between left common carotid artery and right common carotid artery;Congenital luminal atresia of aortic arch between left common carotid artery and right common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
461572001,Type B atresia of aortic arch with fibrous cord between subclavian artery and common carotid artery;Atresia of aortic arch with fibrous cord between subclavian artery and common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
461577007,Atresia of aortic arch with fibrous cord between left common carotid artery and right common carotid artery;Type C atresia of aortic arch with fibrous cord between left common carotid artery and right common carotid artery,interrupted aortic arch,IAA,Severe,SNOMED
253673009,Preductal interruption of aorta,interrupted aortic arch,IAA,Severe,SNOMED
204431007,Atresia or stenosis of aorta NOS;Atresia and stenosis of aorta,interrupted aortic arch,IAA,Severe,SNOMED
218728005,Interrupted aortic arch;IAA - Interrupted aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
7438000,Congenital atresia of aorta;Imperforate aorta;Atresia of aorta,interrupted aortic arch,IAA,Severe,SNOMED
461634000,Abnormality within thorax due to interruption of aortic arch,interrupted aortic arch,IAA,Severe,SNOMED
253483002,DIV - Abnormality of left atrioventricular valve in double inlet ventricle;Abnormality of left atrioventricular valve in double inlet ventricle,left atrioventricular valve,LAVV,Moderate,SNOMED
472850008,Regurgitation of fetal left atrioventricular (nonmitral) valve;Regurgitation of foetal left atrioventricular (not morphologically mitral) valve;Regurgitation of foetal left atrioventricular (nonmitral) valve;Regurgitation of fetal left atrioventricular (not morphologically mitral) valve,left atrioventricular valve,LAVV,Moderate,SNOMED
253485009,Imperforate left atrioventricular valve,left atrioventricular valve,LAVV,Severe,SNOMED
472851007,Stenosis of fetal left atrioventricular (nonmitral) valve;Stenosis of foetal left atrioventricular (not morphologically mitral) valve;Stenosis of foetal left atrioventricular (nonmitral) valve;Stenosis of fetal left atrioventricular (not morphologically mitral) valve,left atrioventricular valve,LAVV,Moderate,SNOMED
460600005,Dysfunction of left atrioventricular (nonmitral) valve papillary muscle;Dysfunction of left atrioventricular (not morphologically mitral) valve papillary muscle,left atrioventricular valve,LAVV,Moderate,SNOMED
449228007,Hypoplasia of left atrioventricular valve annulus in double inlet ventricle,left atrioventricular valve,LAVV,Moderate,SNOMED
253501000,CT - Abnormality of left atrioventricular chordae tendinae;Abnormality of left atrioventricular valve chords;Abnormality of left atrioventricular valve chordae tendinae,left atrioventricular valve,LAVV,Moderate,SNOMED
473379000,Rupture of left atrioventricular (nonmitral) valve leaflet;Rupture of left atrioventricular (not morphologically mitral) valve leaflet,left atrioventricular valve,LAVV,Moderate,SNOMED
253489003,Overriding left atrioventricular valve,left atrioventricular valve,LAVV,Mild,SNOMED
449098005,Congenital abnormality of left atrioventricular valve chordae tendinae in double inlet ventricle,left atrioventricular valve,LAVV,Moderate,SNOMED
448947009,Congenital abnormality of left atrioventricular valve in double inlet ventricle,left atrioventricular valve,LAVV,Moderate,SNOMED
253498000,True cleft of left atrioventricular valve leaflet,left atrioventricular valve,LAVV,Moderate,SNOMED
473454002,Disorder of left atrioventricular (nonmitral) valve;Disorder of left atrioventricular (not morphologically mitral) valve,left atrioventricular valve,LAVV,Moderate,SNOMED
253505009,Arcade abnormality of left atrioventricular valve chordae,left atrioventricular valve,LAVV,Moderate,SNOMED
253495002,Double orifice of left atrioventricular valve,left atrioventricular valve,LAVV,Moderate,SNOMED
253490007,Dilatation of left atrioventricular valve annulus,left atrioventricular valve,LAVV,Moderate,SNOMED
460614005,Dilatation of left atrioventricular (nonmitral) valve in double inlet ventricle;Dilatation of left atrioventricular (not morphologically mitral) valve in double inlet ventricle;Dilation of left atrioventricular (not morphologically mitral) valve in double inlet ventricle,left atrioventricular valve,LAVV,Moderate,SNOMED
447779007,Trifoliate left atrioventricular valve,left atrioventricular valve,LAVV,Moderate,SNOMED
457772007,Calcification of left atrioventricular (not morphologically mitral) valve;Calcification of left atrioventricular (nonmitral) valve,left atrioventricular valve,LAVV,Moderate,SNOMED
253510008,Hypoplastic left atrioventricular valve papillary muscle,left atrioventricular valve,LAVV,Moderate,SNOMED
253499008,Accessory tissue on left atrioventricular valve leaflet,left atrioventricular valve,LAVV,Moderate,SNOMED
253506005,Abnormality of left atrioventricular valve papillary muscle,left atrioventricular valve,LAVV,Moderate,SNOMED
253492004,Straddling left atrioventricular valve,left atrioventricular valve,LAVV,Mild,SNOMED
445454009,Left ventricular outflow tract obstruction due to atrioventricular valve,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445235006,Left ventricular outflow tract obstruction due to anterolateral muscle band,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445131007,Left ventricular outflow tract obstruction due to fibromuscular tunnel,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445001003,Left ventricle outflow tract obstruction due to deviated septum;Left ventricular outflow tract obstruction due to malaligned outlet septum,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445310002,Left ventricular outflow tract obstruction due to diaphragm,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
253540005,LVOT - Hypoplasia of left ventricular outflow tract and trabecular area;Hypoplasia of left ventricular outflow tract and trabecular area,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445003000,Left ventricular outflow tract obstruction due to subpulmonary fibromuscular shelf,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
253601007,Hypoplastic aortic orifice or valve;Aortic valve ring hypoplasia,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
445453003,Left ventricular outflow tract obstruction due to aneurysm of membranous septum,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
470753008,Progression of fetal left ventricular outflow tract obstruction;Progression of foetal left ventricular outflow tract obstruction,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
253539008,LVOT - Hypoplasia of left ventricular outflow tract;Hypoplasia of left ventricular outflow tract,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
459182005,Aneurysm of patch of left ventricular outflow tract,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
253547008,Left ventricular outflow tract atresia,left ventricular outflow obstruction,LVOO,Moderate,SNOMED
448577008,Muscular subvalvar atresia of aorta,left ventricular outflow obstruction,LVOO,Severe,SNOMED
253275006,Abnormal atrioventricular connection - biventricular,mitral atresia,MAT,Severe,SNOMED
253290005,Absent left sided atrioventricular connection,mitral atresia,MAT,Severe,SNOMED
23063005,MA - Mitral atresia;Mitral atresia;Congenital atresia of mitral valve,mitral atresia,MAT,Severe,SNOMED
448624005,Absent left sided atrioventricular connection with straddling valve - uniatrial biventricular connection;Uniatrial biventricular connection with absent left sided atrioventricular connection with straddling valve,mitral atresia,MAT,Severe,SNOMED
92969008,Congenital absence of left atrioventricular valve;Congenital absence of mitral valve,mitral atresia,MAT,Severe,SNOMED
253279000,Absent atrioventricular connection with straddling valve,mitral atresia,MAT,Severe,SNOMED
253484008,Left atrioventricular valve atresia,mitral atresia,MAT,Severe,SNOMED
472842004,Regurgitation of fetal mitral valve;Regurgitation of foetal mitral valve,mitral regurgitation,MR,Mild,SNOMED
253502007,Left atrioventricular valve chordae too short,mitral regurgitation,MR,Mild,SNOMED
253508006,Absent left atrioventricular valve papillary muscle,mitral regurgitation,MR,Mild,SNOMED
253503002,Left atrioventricular valve chordae too long,mitral regurgitation,MR,Mild,SNOMED
29928006,Congenital mitral insufficiency;Congenital insufficiency of mitral valve;MR - Congenital mitral regurgitation;Congenital mitral regurgitation,mitral regurgitation,MR,Mild,SNOMED
41514002,Congenital supravalvular mitral stenosis,mitral stenosis,MS,Mild,SNOMED
253491006,Left atrioventricular valve stenosis,mitral stenosis,MS,Mild,SNOMED
472843009,Stenosis of foetal mitral valve;Stenosis of fetal mitral valve,mitral stenosis,MS,Mild,SNOMED
82458004,"Duroziez's disease;Congenital mitral stenosis;MS - Congenital mitral stenosis;""Congenital mitral stenosis, unspecified"";Congenital mitral stenosis NOS;Congenital stenosis of mitral valve",mitral stenosis,MS,Mild,SNOMED
449135007,Congenital stenosis of mitral subvalvular apparatus,mitral stenosis,MS,Mild,SNOMED
253487001,Left atrioventricular valve hypoplasia,mitral stenosis,MS,Mild,SNOMED
253494003,Absent left atrioventricular valve leaflets;Unguarded left atrioventricular valve orifice,mitral valve disease,MVD,Mild,SNOMED
448497000,Congenital deformity of mitral valve annulus,mitral valve disease,MVD,Mild,SNOMED
253404006,Anterior leaflet of mitral valve attached to septum,mitral valve disease,MVD,Mild,SNOMED
78495000,Cleft leaflet of mitral valve;True cleft of mitral leaflet,mitral valve disease,MVD,Mild,SNOMED
250996007,Complex mitral valve orifice,mitral valve disease,MVD,Mild,SNOMED
253402005,Double orifice of mitral valve,mitral valve disease,MVD,Mild,SNOMED
253500004,Left atrioventricular valve leaflet dysplasia,mitral valve disease,MVD,Mild,SNOMED
75372006,MV - Congenital mitral valve abnormality;Congenital malformation of mitral valve;Congenital mitral valve abnormality;Congenital anomaly of mitral valve,mitral valve disease,MVD,Mild,SNOMED
253504008,Left atrioventricular valve chordae to outlet septum,mitral valve disease,MVD,Mild,SNOMED
78196008,Double mitral valve,mitral valve disease,MVD,Mild,SNOMED
253452001,Fused common atrioventricular valve papillary muscle,mitral valve disease,MVD,Moderate,SNOMED
253486005,Left atrioventricular valve dysplasia,mitral valve disease,MVD,Mild,SNOMED
253399009,Straddling mitral valve,mitral valve disease,MVD,Mild,SNOMED
204363002,Supernumerary cusps of the mitral valve,mitral valve disease,MVD,Mild,SNOMED
449270002,Hypoplasia of mitral valve annulus,mitral valve disease,MVD,Mild,SNOMED
93271008,Congenital hypoplasia of mitral valve;Mitral valve hypoplasia;Congenital hypoplasia of left atrioventricular valve;Congenital small left atrioventricular valve,mitral valve disease,MVD,Mild,SNOMED
253509003,Fused left atrioventricular valve papillary muscles,mitral valve disease,MVD,Mild,SNOMED
92923008,Congenital misshapen left atrioventricular valve;Congenital abnormal shape of left atrioventricular valve;Congenital abnormal shape of mitral valve,mitral valve disease,MVD,Mild,SNOMED
91634006,Fused commissures of mitral valve;Fused commissure of the mitral valve,mitral valve disease,MVD,Mild,SNOMED
253482007,Hypoplastic right atrioventricular valve papillary muscle,mitral valve disease,MVD,Mild,SNOMED
253481000,Fused right atrioventricular valve papillary muscles,mitral valve disease,MVD,Mild,SNOMED
253397006,Overriding mitral valve,mitral valve disease,MVD,Mild,SNOMED
250994005,Slit-like mitral valve orifice,mitral valve disease,MVD,Mild,SNOMED
448844001,Multiple mitral papillary muscles with hammock valve,mitral valve disease,MVD,Mild,SNOMED
448028009,Congenital left ventricular submitral valve aneurysm,mitral valve disease,MVD,Mild,SNOMED
93234006,Congenital hypertrophy of mitral valve;Congenital hypertrophy of left atrioventricular valve,mitral valve disease,MVD,Mild,SNOMED
250997003,Multiple mitral valve orifice,mitral valve disease,MVD,Mild,SNOMED
448026008,Left atrioventricular valve bifoliate with fused left sided superior and inferior bridging leaflet,mitral valve disease,MVD,Mild,SNOMED
43910005,Congenital hypoplasia of aorta,other anomalies of the thoracic aorta ,OATA,Moderate,SNOMED
461366002,Congenital hypoplasia of descending aorta,other anomalies of the thoracic aorta ,OATA,Moderate,SNOMED
12075007,Ascending aortic hypoplasia;Congenital hypoplasia of ascending aorta,other anomalies of the thoracic aorta ,OATA,Moderate,SNOMED
92960007,Congenital absence of aortic valve;Aortic valve absent,other valve defect,OVD,Severe,SNOMED
448075009,Uniatrial biventricular connection with absent right sided atrioventricular connection with straddling valve;Absent right sided atrioventricular connection with straddling valve - uniatrial biventricular connection,other valve defect,OVD,Severe,SNOMED
38665006,Rastelli operation for repair of pulmonary artery atresia,pulmonary artery atresia,PAAT,Severe,SNOMED
10930001,Congenital atresia of pulmonary artery;Imperforate pulmonary artery,pulmonary artery atresia,PAAT,Severe,SNOMED
448086006,Atresia of pulmonary trunk with absent left pulmonary artery,pulmonary artery atresia,PAAT,Severe,SNOMED
204448004,Atresia of pulmonary artery with septal defect,pulmonary artery atresia,PAAT,Severe,SNOMED
448087002,Atresia of pulmonary trunk with absent right pulmonary artery,pulmonary artery atresia,PAAT,Severe,SNOMED
448155003,Pulmonary atresia with ventricular septal defect of Fallot type,pulmonary artery atresia,PAAT,Severe,SNOMED
253625004,Pulmonary atresia with absent pulmonary artery,pulmonary artery atresia,PAAT,Severe,SNOMED
253624000,Pulmonary atresia with confluent pulmonary arteries,pulmonary artery atresia,PAAT,Severe,SNOMED
447925007,Hypoperfusion of left pulmonary artery due to preferential flow to right pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
447926008,Hypoperfusion of right pulmonary artery due to preferential flow to left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
707371002,Congenital stenosis of left pulmonary artery;Congenital left pulmonary arterial stenosis,pulmonary artery malformation,PAM,Moderate,SNOMED
253629005,Pulmonary trunk absent with absent pulmonary artery,pulmonary artery malformation,PAM,Severe,SNOMED
448060001,Pulmonary trunk absent with absent right pulmonary artery,pulmonary artery malformation,PAM,Severe,SNOMED
449551006,Single stenosis of left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
449560003,Multiple stenoses of right pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
86252004,Congenital absence of pulmonary artery;Pulmonary artery agenesis;Pulmonary artery absent;Agenesis of pulmonary artery,pulmonary artery malformation,PAM,Severe,SNOMED
253628002,Pulmonary trunk absent with non-confluent pulmonary arteries,pulmonary artery malformation,PAM,Severe,SNOMED
461433002,Major systemic to pulmonary collateral artery with absent pulmonary arteries proximal to hilar bifurcation,pulmonary artery malformation,PAM,Severe,SNOMED
449350006,Pulmonary artery with absent proximal arterial connection,pulmonary artery malformation,PAM,Moderate,SNOMED
2.86071E+14,Congenital peripheral pulmonary artery stenosis,pulmonary artery malformation,PAM,Moderate,SNOMED
448510002,Stenosis of left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
95441000,Pulmonary artery stenosis;Congenital stricture of pulmonary artery;Congenital stricture of pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
449125001,Congenital stenosis of pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
449589001,Single stenosis of right pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
39987008,Congenital absence of right pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
449547009,Right pulmonary artery with absent proximal arterial connection,pulmonary artery malformation,PAM,Moderate,SNOMED
253691004,Stenosis of systemic to pulmonary artery collateral artery,pulmonary artery malformation,PAM,Moderate,SNOMED
445209005,Congenital hypoplasia of left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
54682008,Hypoplasia of the pulmonary artery;Pulmonary artery hypoplasia;Congenital hypoplasia of pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
447668005,Nonconfluent pulmonary arteries;Discontinuous pulmonary arteries,pulmonary artery malformation,PAM,Severe,SNOMED
448059006,Pulmonary trunk absent with absent left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
445208002,Congenital hypoplasia of right pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
449433008,Diffuse stenosis of left pulmonary artery,pulmonary artery malformation,PAM,Moderate,SNOMED
