code,description,code_position (in hospital datasets),code_terminology
1240530000000000,Myocarditis due to disease caused by 2019-nCoV (novel coronavirus),N/A,SNOMED
1240530000000000,Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),N/A,SNOMED
1240530000000000,Myocarditis due to disease caused by Severe acute respiratory syndrome coronavirus 2,N/A,SNOMED
72527006,Myocarditis due to drug,N/A,SNOMED
460345001,Myocarditis due to echovirus,N/A,SNOMED
460338001,Myocarditis due to Genus Aspergillus,N/A,SNOMED
460620006,Myocarditis due to Genus Borrelia,N/A,SNOMED
460329003,Myocarditis due to Genus Candida,N/A,SNOMED
460317007,Myocarditis due to Genus Rickettsia,N/A,SNOMED
142951000000000,Myocarditis due to H1N1 influenza,N/A,SNOMED
8676001,Myocarditis due to hypersensitivity state,N/A,SNOMED
22653005,Myocarditis due to infectious agent,N/A,SNOMED
10629400000000000,Myocarditis due to influenza A,N/A,SNOMED
142951000000000,Myocarditis due to Influenza A virus subtype H1N1,N/A,SNOMED
78046005,Myocarditis due to influenza virus,N/A,SNOMED
460352004,Myocarditis due to Order Spirochaetales,N/A,SNOMED
79096004,Myocarditis due to physical agent,N/A,SNOMED
88782004,Myocarditis due to radiation,N/A,SNOMED
1089930000000000,Myocarditis due to scarlet fever,N/A,SNOMED
723863003,Myopericarditis,N/A,SNOMED
763839005,Neonatal Marfan syndrome,N/A,SNOMED
28386007,Neoplastic secondary pericarditis,N/A,SNOMED
57181007,Non-bacterial thrombotic endocarditis,N/A,SNOMED
81376009,Non-infectious pericarditis,N/A,SNOMED
583021000000000,Non-rheum. endocarditis NOS,N/A,SNOMED
639601000000000,Non-rheum. endocarditis NOS,N/A,SNOMED
57181007,Nonbacterial thrombotic endocarditis,N/A,SNOMED
54072008,Nonbacterial verrucous endocarditis,N/A,SNOMED
36135007,Noninfective endocarditis,N/A,SNOMED
194989009,"Nonrheumatic tricuspid valve disorder, unspecified",N/A,SNOMED
194992008,Nonrheumatic tricuspid valve stenosis with insufficiency,N/A,SNOMED
55482007,Nonspecific granulomatous myocarditis,N/A,SNOMED
111300007,Obliterative pericarditis,N/A,SNOMED
46701001,Other acute myocarditis,N/A,SNOMED
46701001,Other acute myocarditis NOS,N/A,SNOMED
312591002,Other acute rheumatic heart disease,N/A,SNOMED
312591002,Other acute rheumatic heart disease NOS,N/A,SNOMED
15555002,Other and unspecified acute pericarditis,N/A,SNOMED
654281000000000,Other and unspecified rheumatic heart disease,N/A,SNOMED
23685000,Other and unspecified rheumatic heart disease,N/A,SNOMED
653341000000000,Other chronic rheumatic endocardial disease,N/A,SNOMED
46165000,Other chronic rheumatic endocardial disease,N/A,SNOMED
654271000000000,Other chronic rheumatic heart,N/A,SNOMED
23685000,Other rheumatic heart disease NOS,N/A,SNOMED
630501000000000,Other rheumatic heart disease NOS,N/A,SNOMED
87648004,Other specified chronic rheumatic heart disease,N/A,SNOMED
654271000000000,Other specified chronic rheumatic heart disease,N/A,SNOMED
62185008,Pancarditis,N/A,SNOMED
233869002,Parasitic myocarditis,N/A,SNOMED
28966002,Parasitic pericarditis,N/A,SNOMED
3238004,Pericarditis,N/A,SNOMED
89222008,Pericarditis associated with atrial septal defect,N/A,SNOMED
111301006,Pericarditis associated with familial Mediterranean fever,N/A,SNOMED
65447009,Pericarditis associated with infectious mononucleosis,N/A,SNOMED
43742007,Pericarditis associated with severe chronic anaemia,N/A,SNOMED
43742007,Pericarditis associated with severe chronic anemia,N/A,SNOMED
45304001,Pericarditis caused by deposits of cholesterol,N/A,SNOMED
460439008,Pericarditis caused by Genus Haemophilus,N/A,SNOMED
460439008,Pericarditis caused by Genus Hemophilus,N/A,SNOMED
712859002,Pericarditis caused by toxin,N/A,SNOMED
46676000,Pericarditis co-occurrent and due to benign primary tumor,N/A,SNOMED
46676000,Pericarditis co-occurrent and due to benign primary tumour,N/A,SNOMED
76541004,Pericarditis co-occurrent and due to chylopericardium,N/A,SNOMED
58474006,Pericarditis co-occurrent and due to collagen vascular disease,N/A,SNOMED
111301006,Pericarditis co-occurrent and due to familial Mediterranean fever,N/A,SNOMED
65447009,Pericarditis co-occurrent and due to infectious mononucleosis,N/A,SNOMED
55879006,Pericarditis co-occurrent and due to malignant primary tumor,N/A,SNOMED
55879006,Pericarditis co-occurrent and due to malignant primary tumour,N/A,SNOMED
31080005,Pericarditis co-occurrent and due to Mulibrey nanism,N/A,SNOMED
28386007,Pericarditis co-occurrent and due to neoplasia,N/A,SNOMED
16876006,Pericarditis co-occurrent and due to primary tumor,N/A,SNOMED
16876006,Pericarditis co-occurrent and due to primary tumour,N/A,SNOMED
87442008,Pericarditis co-occurrent and due to scleroderma,N/A,SNOMED
25380002,Pericarditis co-occurrent and due to systemic lupus erythematosus,N/A,SNOMED
40312006,Pericarditis co-occurrent and due to tumor metastatic to pericardium,N/A,SNOMED
40312006,Pericarditis co-occurrent and due to tumour metastatic to pericardium,N/A,SNOMED
80119007,Pericarditis co-occurrent and due to uraemia,N/A,SNOMED
80119007,Pericarditis co-occurrent and due to uremia,N/A,SNOMED
89222008,Pericarditis co-occurrent with atrial septal defect,N/A,SNOMED
7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis,N/A,SNOMED
71023004,Pericarditis due to acute myocardial infarction,N/A,SNOMED
21290002,Pericarditis due to and following penetrating trauma,N/A,SNOMED
61575003,Pericarditis due to aortic aneurysm,N/A,SNOMED
45304001,Pericarditis due to deposits of cholesterol,N/A,SNOMED
703384007,Pericarditis due to disease of contiguous structure,N/A,SNOMED
460439008,Pericarditis due to Genus Haemophilus,N/A,SNOMED
460439008,Pericarditis due to Genus Hemophilus,N/A,SNOMED
703332001,Pericarditis due to metabolic disease,N/A,SNOMED
39244004,Pericarditis due to myxedema,N/A,SNOMED
39244004,Pericarditis due to myxoedema,N/A,SNOMED
37278001,Pericarditis due to non-penetrating trauma,N/A,SNOMED
87442008,Pericarditis due to systemic sclerosis,N/A,SNOMED
712859002,Pericarditis due to toxin,N/A,SNOMED
703333006,Pericarditis due to vasculitis and connective tissue disease,N/A,SNOMED
233885007,Pericarditis following myocardial infarction,N/A,SNOMED
703384007,Pericarditis in disease of contiguous structure,N/A,SNOMED
703332001,Pericarditis in metabolic disease,N/A,SNOMED
105982005,Pericarditis related to hypersensitivity AND/OR autoimmunity,N/A,SNOMED
71023004,Pericarditis secondary to acute myocardial infarction,N/A,SNOMED
61575003,Pericarditis secondary to aortic aneurysm,N/A,SNOMED
8256001,Pericarditis secondary to aortic aneurysm with leakage into pericardial sac,N/A,SNOMED
46676000,Pericarditis secondary to benign primary tumor,N/A,SNOMED
46676000,Pericarditis secondary to benign primary tumour,N/A,SNOMED
76541004,Pericarditis secondary to chylopericardium,N/A,SNOMED
58474006,Pericarditis secondary to collagen vascular disease,N/A,SNOMED
55879006,Pericarditis secondary to malignant primary tumor,N/A,SNOMED
55879006,Pericarditis secondary to malignant primary tumour,N/A,SNOMED
31080005,Pericarditis secondary to Mulibrey nanism,N/A,SNOMED
39244004,Pericarditis secondary to myxedema,N/A,SNOMED
39244004,Pericarditis secondary to myxoedema,N/A,SNOMED
28386007,Pericarditis secondary to neoplasia,N/A,SNOMED
37278001,Pericarditis secondary to non-penetrating trauma,N/A,SNOMED
21290002,Pericarditis secondary to penetrating trauma,N/A,SNOMED
16876006,Pericarditis secondary to primary tumor,N/A,SNOMED
16876006,Pericarditis secondary to primary tumour,N/A,SNOMED
7607008,Pericarditis secondary to rheumatoid arthritis,N/A,SNOMED
87442008,Pericarditis secondary to scleroderma,N/A,SNOMED
25380002,Pericarditis secondary to systemic lupus erythematosus,N/A,SNOMED
40312006,Pericarditis secondary to tumor metastatic to pericardium,N/A,SNOMED
40312006,Pericarditis secondary to tumour metastatic to pericardium,N/A,SNOMED
80119007,Pericarditis secondary to uraemia,N/A,SNOMED
80119007,Pericarditis secondary to uremia,N/A,SNOMED
60357009,Pericarditis sicca,N/A,SNOMED
460440005,Pericarditis with pericardial effusion caused by Mycobacterium tuberculosis complex,N/A,SNOMED
460440005,Pericarditis with pericardial effusion due to Mycobacterium tuberculosis complex,N/A,SNOMED
723088005,Periendocarditis due to infection,N/A,SNOMED
709604005,Periodontitis associated with Ehlers-Danlos syndrome type 4,N/A,SNOMED
50869007,Periodontitis associated with Ehlers-Danlos syndrome type VIII,N/A,SNOMED
709604005,Periodontitis co-occurrent with Ehlers-Danlos syndrome type 4,N/A,SNOMED
233885007,Post infarction pericarditis,N/A,SNOMED
233885007,Post-infarction pericarditis,N/A,SNOMED
33558009,Post-radiation pericarditis,N/A,SNOMED
39097001,Post-traumatic pericarditis,N/A,SNOMED
64420008,Postcardiac injury pericarditis,N/A,SNOMED
66189004,Postmyocardial infarction pericarditis,N/A,SNOMED
58600007,Postpericardiotomy pericarditis,N/A,SNOMED
55043004,Procainamide-induced pericarditis,N/A,SNOMED
233853009,Prosthetic valve endocarditis,N/A,SNOMED
8916007,Protozoan myocarditis,N/A,SNOMED
2439002,Purulent endocarditis,N/A,SNOMED
233853009,PVE - Prosthetic valve endocarditis,N/A,SNOMED
15016005,Pyogenic pericarditis,N/A,SNOMED
95890006,Q fever endocarditis,N/A,SNOMED
233867000,Q fever myocarditis,N/A,SNOMED
233884006,Q fever pericarditis,N/A,SNOMED
20005002,Recurrent rheumatic heart disease,N/A,SNOMED
24132004,Resection of pericardium for chronic constrictive pericarditis,N/A,SNOMED
56501009,Rheumatic adherent pericardium,N/A,SNOMED
639461000000000,Rheumatic aortic disease NOS,N/A,SNOMED
12023003,Rheumatic aortic disease NOS,N/A,SNOMED
78031003,Rheumatic aortic incompetence,N/A,SNOMED
78031003,Rheumatic aortic insufficiency,N/A,SNOMED
78031003,Rheumatic aortic regurgitation,N/A,SNOMED
72011007,Rheumatic aortic stenosis,N/A,SNOMED
17759006,Rheumatic aortic stenosis with incompetence,N/A,SNOMED
17759006,Rheumatic aortic stenosis with insufficiency,N/A,SNOMED
17759006,Rheumatic aortic stenosis with regurgitation,N/A,SNOMED
12023003,Rheumatic aortic valve disease,N/A,SNOMED
639461000000000,Rheumatic aortic valve disease NOS,N/A,SNOMED
12023003,Rheumatic aortic valve disease NOS,N/A,SNOMED
72011007,Rheumatic aortic valve obstruction,N/A,SNOMED
429347004,Rheumatic aortic valve sclerosis,N/A,SNOMED
123803006,Rheumatic arteritis,N/A,SNOMED
23685000,Rheumatic carditis,N/A,SNOMED
46826000,Rheumatic chorea,N/A,SNOMED
46826000,Rheumatic chorea NOS,N/A,SNOMED
57803009,Rheumatic chorea with heart involvement,N/A,SNOMED
46826000,Rheumatic chorea without mention of heart involvement,N/A,SNOMED
194750008,Rheumatic degeneration of myocardium,N/A,SNOMED
12023003,Rheumatic disease of aortic valve,N/A,SNOMED
48872007,Rheumatic disease of endocardium,N/A,SNOMED
16063004,Rheumatic disease of heart valve,N/A,SNOMED
16440002,Rheumatic disease of mitral AND aortic valves,N/A,SNOMED
83898004,Rheumatic disease of mitral valve,N/A,SNOMED
18687009,Rheumatic disease of pulmonary valve,N/A,SNOMED
49699002,Rheumatic disease of tricuspid valve,N/A,SNOMED
48872007,Rheumatic endocarditis,N/A,SNOMED
653341000000000,Rheumatic endocardium disease,N/A,SNOMED
194708008,Rheumatic fever with heart involvement,N/A,SNOMED
703119002,Rheumatic fever with heart involvement,N/A,SNOMED
23685000,Rheumatic heart disease,N/A,SNOMED
630501000000000,Rheumatic heart disease NOS,N/A,SNOMED
654281000000000,Rheumatic heart disease NOS,N/A,SNOMED
23685000,Rheumatic heart disease unspecified,N/A,SNOMED
91529004,Rheumatic heart valve failure,N/A,SNOMED
43121002,Rheumatic heart valve incompetence,N/A,SNOMED
43121002,Rheumatic heart valve insufficiency,N/A,SNOMED
43121002,Rheumatic heart valve regurgitation,N/A,SNOMED
19036004,Rheumatic heart valve stenosis,N/A,SNOMED
28284007,Rheumatic heart valve stenosis with incompetence,N/A,SNOMED
28284007,Rheumatic heart valve stenosis with insufficiency,N/A,SNOMED
34248003,Rheumatic inflammation,N/A,SNOMED
43736008,Rheumatic left ventricular failure,N/A,SNOMED
59464004,Rheumatic mitral AND aortic valve incompetence,N/A,SNOMED
59464004,Rheumatic mitral AND aortic valve insufficiency,N/A,SNOMED
370141003,Rheumatic mitral AND aortic valve obstruction,N/A,SNOMED
59464004,Rheumatic mitral AND aortic valve regurgitation,N/A,SNOMED
639451000000000,Rheumatic mitral disease NOS,N/A,SNOMED
31085000,Rheumatic mitral incompetence,N/A,SNOMED
31085000,Rheumatic mitral insufficiency,N/A,SNOMED
31085000,Rheumatic mitral regurgitation,N/A,SNOMED
86466006,Rheumatic mitral stenosis,N/A,SNOMED
787001,Rheumatic mitral stenosis with incompetence,N/A,SNOMED
787001,Rheumatic mitral stenosis with insufficiency,N/A,SNOMED
787001,Rheumatic mitral stenosis with regurgitation,N/A,SNOMED
44993000,Rheumatic mitral valve and aortic valve stenosis,N/A,SNOMED
286011000000000,Rheumatic mitral valve annular calcification,N/A,SNOMED
83898004,Rheumatic mitral valve changes,N/A,SNOMED
83898004,Rheumatic mitral valve disease,N/A,SNOMED
40023000,Rheumatic mitral valve failure,N/A,SNOMED
81552002,Rheumatic mitral valve insufficiency AND aortic valve stenosis,N/A,SNOMED
250999000,Rheumatic mitral valve leaflet changes,N/A,SNOMED
86466006,Rheumatic mitral valve obstruction,N/A,SNOMED
286031000000000,Rheumatic mitral valve prolapse,N/A,SNOMED
71799002,Rheumatic mitral valve stenosis AND aortic valve insufficiency,N/A,SNOMED
194750008,Rheumatic myocarditis,N/A,SNOMED
23685000,Rheumatic pancarditis,N/A,SNOMED
28381002,Rheumatic pericarditis,N/A,SNOMED
7548000,Rheumatic pneumonia,N/A,SNOMED
34126003,Rheumatic pulmonary insufficiency,N/A,SNOMED
34126003,Rheumatic pulmonary regurgitation,N/A,SNOMED
91442002,Rheumatic pulmonary stenosis,N/A,SNOMED
85971001,Rheumatic pulmonary stenosis and insufficiency,N/A,SNOMED
18687009,Rheumatic pulmonary valve disease,N/A,SNOMED
18687009,Rheumatic pulmonary valve disease NOS,N/A,SNOMED
52048004,Rheumatic pulmonary valve failure,N/A,SNOMED
34126003,Rheumatic pulmonary valve incompetence,N/A,SNOMED
34126003,Rheumatic pulmonary valve insufficiency,N/A,SNOMED
91442002,Rheumatic pulmonary valve obstruction,N/A,SNOMED
34126003,Rheumatic pulmonary valve regurgitation,N/A,SNOMED
91442002,Rheumatic pulmonary valve stenosis,N/A,SNOMED
85971001,Rheumatic pulmonary valve stenosis with incompetence,N/A,SNOMED
85971001,Rheumatic pulmonary valve stenosis with insufficiency,N/A,SNOMED
85971001,Rheumatic pulmonary valve stenosis with regurgitation,N/A,SNOMED
67696008,Rheumatic tricuspid insufficiency,N/A,SNOMED
67696008,Rheumatic tricuspid regurgitation,N/A,SNOMED
88318005,Rheumatic tricuspid stenosis,N/A,SNOMED
194741006,Rheumatic tricuspid stenosis and incompetence,N/A,SNOMED
194741006,Rheumatic tricuspid stenosis and insufficiency,N/A,SNOMED
194741006,Rheumatic tricuspid stenosis and regurgitation,N/A,SNOMED
49699002,Rheumatic tricuspid valve disease,N/A,SNOMED
49699002,Rheumatic tricuspid valve disease NOS,N/A,SNOMED
612101000000000,Rheumatic tricuspid valve disease NOS,N/A,SNOMED
16855001,Rheumatic tricuspid valve failure,N/A,SNOMED
67696008,Rheumatic tricuspid valve incompetence,N/A,SNOMED
67696008,Rheumatic tricuspid valve insufficiency,N/A,SNOMED
88318005,Rheumatic tricuspid valve obstruction,N/A,SNOMED
67696008,Rheumatic tricuspid valve regurgitation,N/A,SNOMED
88318005,Rheumatic tricuspid valve stenosis,N/A,SNOMED
194741006,Rheumatic tricuspid valve stenosis with regurgitation,N/A,SNOMED
16063004,Rheumatic valvulitis,N/A,SNOMED
87648004,"Rheumatic valvulitis, chronic NOS",N/A,SNOMED
195136004,Rheumatoid myocarditis,N/A,SNOMED
233851006,Rickettsial endocarditis,N/A,SNOMED
460317007,Rickettsial myocarditis,N/A,SNOMED
425177009,Right sided infective endocarditis,N/A,SNOMED
426087004,Right-sided Staphylococcus aureus endocarditis,N/A,SNOMED
301772008,Risk of subacute bacterial endocarditis,N/A,SNOMED
64190005,Rubella myocarditis,N/A,SNOMED
195033009,Sarcoid myocarditis,N/A,SNOMED
73774007,SBE - Subacute bacterial endocarditis,N/A,SNOMED
28386007,Secondary neoplastic pericarditis,N/A,SNOMED
279001,Senile myocarditis,N/A,SNOMED
44051003,Septic endocarditis,N/A,SNOMED
64043005,Septic myocarditis,N/A,SNOMED
194956009,Septic myocarditis - pneumococcal,N/A,SNOMED
194957000,Septic myocarditis - staphylococcal,N/A,SNOMED
194958005,Septic myocarditis - streptococcal,N/A,SNOMED
22653005,Septic myocarditis NOS,N/A,SNOMED
123599008,Serofibrinous pericarditis,N/A,SNOMED
402972001,Skin involvement in bacterial endocarditis,N/A,SNOMED
460352004,Spirochaetal myocarditis,N/A,SNOMED
460352004,Spirochetal myocarditis,N/A,SNOMED
73028002,Staphylococcal endocarditis,N/A,SNOMED
73774007,Subacute bact. endocarditis,N/A,SNOMED
266237004,Subacute bact. endocarditis,N/A,SNOMED
73774007,Subacute bacterial endocarditis,N/A,SNOMED
426931009,Subacute bacterial endocarditis prophylaxis,N/A,SNOMED
14455008,Subacute constrictive pericarditis,N/A,SNOMED
5836005,Subacute effusive constrictive pericarditis,N/A,SNOMED
66893008,Subacute endocarditis,N/A,SNOMED
420938005,Subacute endocarditis associated with acquired immunodeficiency syndrome,N/A,SNOMED
420938005,Subacute endocarditis associated with AIDS,N/A,SNOMED
194921005,Subacute endocarditis NOS,N/A,SNOMED
48228003,Subacute endopericarditis,N/A,SNOMED
723864009,Subacute infective endocarditis,N/A,SNOMED
18484008,Subacute interstitial myocarditis,N/A,SNOMED
421272004,Subacute myocarditis associated with acquired immunodeficiency syndrome,N/A,SNOMED
421272004,Subacute myocarditis associated with AIDS,N/A,SNOMED
69589006,Subacute myoendocarditis,N/A,SNOMED
194921005,Subacute myoendocarditis NOS,N/A,SNOMED
86504008,Subacute pericarditis,N/A,SNOMED
48228003,Subacute periendocarditis,N/A,SNOMED
194921005,Subacute periendocarditis NOS,N/A,SNOMED
46826000,Sydenham's chorea,N/A,SNOMED
58056005,Syphilis of mitral valve,N/A,SNOMED
45058001,Syphilis of pulmonary valve,N/A,SNOMED
42770003,Syphilis of tricuspid valve,N/A,SNOMED
20735004,Syphilis-associated aortitis,N/A,SNOMED
12232008,Syphilitic aneurysm of aorta,N/A,SNOMED
12232008,Syphilitic aortic aneurysm,N/A,SNOMED
61612001,Syphilitic aortic incompetence,N/A,SNOMED
61612001,Syphilitic aortic regurgitation,N/A,SNOMED
82355002,Syphilitic aortic stenosis,N/A,SNOMED
20735004,Syphilitic aortitis,N/A,SNOMED
12232008,Syphilitic dilatation of aorta,N/A,SNOMED
67391006,Syphilitic endocarditis,N/A,SNOMED
278480000,Syphilitic endocarditis of aortic valve,N/A,SNOMED
67391006,Syphilitic endocarditis of heart valve NOS,N/A,SNOMED
186875004,Syphilitic endocarditis of mitral valve,N/A,SNOMED
186878002,Syphilitic endocarditis of pulmonary valve,N/A,SNOMED
186877007,Syphilitic endocarditis of tricuspid valve,N/A,SNOMED
67391006,Syphilitic endocarditis of unspecified valve,N/A,SNOMED
4082005,Syphilitic myocarditis,N/A,SNOMED
3589003,Syphilitic pericarditis,N/A,SNOMED
233849007,Syphilitic valve disease,N/A,SNOMED
94851000000000,Syphilitic valvular endocarditis,N/A,SNOMED
309762007,Systemic lupus erythematosus with pericarditis,N/A,SNOMED
194908003,TB - acute pericarditis,N/A,SNOMED
400130008,Temporal giant cell arteritis,N/A,SNOMED
31993003,Toxic myocarditis,N/A,SNOMED
187195003,Toxoplasma myocarditis,N/A,SNOMED
67696008,Tricuspid incompetence - rheumatic,N/A,SNOMED
460464006,Tuberculous constrictive pericarditis,N/A,SNOMED
67256000,Tuberculous pericarditis,N/A,SNOMED
460440005,Tuberculous pericarditis with pericardial effusion,N/A,SNOMED
44051003,Ulcerative endocarditis,N/A,SNOMED
80119007,Uraemic pericarditis,N/A,SNOMED
80119007,Uremic pericarditis,N/A,SNOMED
89736004,Valvular endocarditis,N/A,SNOMED
86100009,Vegetative endocarditis,N/A,SNOMED
472807003,Ventricular septal defect due to and following infective endocarditis,N/A,SNOMED
472807003,Ventricular septal defect due to endocarditis,N/A,SNOMED
86100009,Verrucous endocarditis,N/A,SNOMED
460450006,Viral constrictive pericarditis,N/A,SNOMED
459057007,Viral endocarditis,N/A,SNOMED
89141000,Viral myocarditis,N/A,SNOMED
70189005,Viral pericarditis,N/A,SNOMED
275513007,Viral pericarditis - virus unidentified,N/A,SNOMED
460445000,Viral pericarditis with pericardial effusion,N/A,SNOMED
