code,description,code_terminology
65447009,Pericarditis co-occurrent and due to infectious mononucleosis,SNOMED
55879006,Pericarditis co-occurrent and due to malignant primary tumor,SNOMED
55879006,Pericarditis co-occurrent and due to malignant primary tumour,SNOMED
31080005,Pericarditis co-occurrent and due to Mulibrey nanism,SNOMED
28386007,Pericarditis co-occurrent and due to neoplasia,SNOMED
16876006,Pericarditis co-occurrent and due to primary tumor,SNOMED
16876006,Pericarditis co-occurrent and due to primary tumour,SNOMED
87442008,Pericarditis co-occurrent and due to scleroderma,SNOMED
25380002,Pericarditis co-occurrent and due to systemic lupus erythematosus,SNOMED
40312006,Pericarditis co-occurrent and due to tumor metastatic to pericardium,SNOMED
40312006,Pericarditis co-occurrent and due to tumour metastatic to pericardium,SNOMED
80119007,Pericarditis co-occurrent and due to uraemia,SNOMED
80119007,Pericarditis co-occurrent and due to uremia,SNOMED
89222008,Pericarditis co-occurrent with atrial septal defect,SNOMED
7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis,SNOMED
71023004,Pericarditis due to acute myocardial infarction,SNOMED
21290002,Pericarditis due to and following penetrating trauma,SNOMED
61575003,Pericarditis due to aortic aneurysm,SNOMED
45304001,Pericarditis due to deposits of cholesterol,SNOMED
703384007,Pericarditis due to disease of contiguous structure,SNOMED
460439008,Pericarditis due to Genus Haemophilus,SNOMED
460439008,Pericarditis due to Genus Hemophilus,SNOMED
703332001,Pericarditis due to metabolic disease,SNOMED
39244004,Pericarditis due to myxedema,SNOMED
39244004,Pericarditis due to myxoedema,SNOMED
37278001,Pericarditis due to non-penetrating trauma,SNOMED
87442008,Pericarditis due to systemic sclerosis,SNOMED
712859002,Pericarditis due to toxin,SNOMED
703333006,Pericarditis due to vasculitis and connective tissue disease,SNOMED
233885007,Pericarditis following myocardial infarction,SNOMED
703384007,Pericarditis in disease of contiguous structure,SNOMED
703332001,Pericarditis in metabolic disease,SNOMED
105982005,Pericarditis related to hypersensitivity AND/OR autoimmunity,SNOMED
71023004,Pericarditis secondary to acute myocardial infarction,SNOMED
61575003,Pericarditis secondary to aortic aneurysm,SNOMED
8256001,Pericarditis secondary to aortic aneurysm with leakage into pericardial sac,SNOMED
46676000,Pericarditis secondary to benign primary tumor,SNOMED
46676000,Pericarditis secondary to benign primary tumour,SNOMED
76541004,Pericarditis secondary to chylopericardium,SNOMED
58474006,Pericarditis secondary to collagen vascular disease,SNOMED
55879006,Pericarditis secondary to malignant primary tumor,SNOMED
55879006,Pericarditis secondary to malignant primary tumour,SNOMED
31080005,Pericarditis secondary to Mulibrey nanism,SNOMED
39244004,Pericarditis secondary to myxedema,SNOMED
39244004,Pericarditis secondary to myxoedema,SNOMED
28386007,Pericarditis secondary to neoplasia,SNOMED
37278001,Pericarditis secondary to non-penetrating trauma,SNOMED
21290002,Pericarditis secondary to penetrating trauma,SNOMED
16876006,Pericarditis secondary to primary tumor,SNOMED
16876006,Pericarditis secondary to primary tumour,SNOMED
7607008,Pericarditis secondary to rheumatoid arthritis,SNOMED
87442008,Pericarditis secondary to scleroderma,SNOMED
25380002,Pericarditis secondary to systemic lupus erythematosus,SNOMED
40312006,Pericarditis secondary to tumor metastatic to pericardium,SNOMED
40312006,Pericarditis secondary to tumour metastatic to pericardium,SNOMED
80119007,Pericarditis secondary to uraemia,SNOMED
80119007,Pericarditis secondary to uremia,SNOMED
60357009,Pericarditis sicca,SNOMED
460440005,Pericarditis with pericardial effusion caused by Mycobacterium tuberculosis complex,SNOMED
460440005,Pericarditis with pericardial effusion due to Mycobacterium tuberculosis complex,SNOMED
723088005,Periendocarditis due to infection,SNOMED
709604005,Periodontitis associated with Ehlers-Danlos syndrome type 4,SNOMED
50869007,Periodontitis associated with Ehlers-Danlos syndrome type VIII,SNOMED
709604005,Periodontitis co-occurrent with Ehlers-Danlos syndrome type 4,SNOMED
233885007,Post infarction pericarditis,SNOMED
233885007,Post-infarction pericarditis,SNOMED
33558009,Post-radiation pericarditis,SNOMED
39097001,Post-traumatic pericarditis,SNOMED
64420008,Postcardiac injury pericarditis,SNOMED
66189004,Postmyocardial infarction pericarditis,SNOMED
58600007,Postpericardiotomy pericarditis,SNOMED
55043004,Procainamide-induced pericarditis,SNOMED
233853009,Prosthetic valve endocarditis,SNOMED
8916007,Protozoan myocarditis,SNOMED
2439002,Purulent endocarditis,SNOMED
233853009,PVE - Prosthetic valve endocarditis,SNOMED
15016005,Pyogenic pericarditis,SNOMED
95890006,Q fever endocarditis,SNOMED
233867000,Q fever myocarditis,SNOMED
233884006,Q fever pericarditis,SNOMED
20005002,Recurrent rheumatic heart disease,SNOMED
24132004,Resection of pericardium for chronic constrictive pericarditis,SNOMED
56501009,Rheumatic adherent pericardium,SNOMED
6.39461E+14,Rheumatic aortic disease NOS,SNOMED
12023003,Rheumatic aortic disease NOS,SNOMED
78031003,Rheumatic aortic incompetence,SNOMED
78031003,Rheumatic aortic insufficiency,SNOMED
78031003,Rheumatic aortic regurgitation,SNOMED
72011007,Rheumatic aortic stenosis,SNOMED
17759006,Rheumatic aortic stenosis with incompetence,SNOMED
17759006,Rheumatic aortic stenosis with insufficiency,SNOMED
17759006,Rheumatic aortic stenosis with regurgitation,SNOMED
12023003,Rheumatic aortic valve disease,SNOMED
6.39461E+14,Rheumatic aortic valve disease NOS,SNOMED
12023003,Rheumatic aortic valve disease NOS,SNOMED
72011007,Rheumatic aortic valve obstruction,SNOMED
429347004,Rheumatic aortic valve sclerosis,SNOMED
123803006,Rheumatic arteritis,SNOMED
23685000,Rheumatic carditis,SNOMED
46826000,Rheumatic chorea,SNOMED
46826000,Rheumatic chorea NOS,SNOMED
57803009,Rheumatic chorea with heart involvement,SNOMED
46826000,Rheumatic chorea without mention of heart involvement,SNOMED
194750008,Rheumatic degeneration of myocardium,SNOMED
12023003,Rheumatic disease of aortic valve,SNOMED
48872007,Rheumatic disease of endocardium,SNOMED
16063004,Rheumatic disease of heart valve,SNOMED
16440002,Rheumatic disease of mitral AND aortic valves,SNOMED
83898004,Rheumatic disease of mitral valve,SNOMED
18687009,Rheumatic disease of pulmonary valve,SNOMED
49699002,Rheumatic disease of tricuspid valve,SNOMED
48872007,Rheumatic endocarditis,SNOMED
6.53341E+14,Rheumatic endocardium disease,SNOMED
194708008,Rheumatic fever with heart involvement,SNOMED
703119002,Rheumatic fever with heart involvement,SNOMED
23685000,Rheumatic heart disease,SNOMED
6.30501E+14,Rheumatic heart disease NOS,SNOMED
6.54281E+14,Rheumatic heart disease NOS,SNOMED
23685000,Rheumatic heart disease unspecified,SNOMED
91529004,Rheumatic heart valve failure,SNOMED
43121002,Rheumatic heart valve incompetence,SNOMED
43121002,Rheumatic heart valve insufficiency,SNOMED
43121002,Rheumatic heart valve regurgitation,SNOMED
19036004,Rheumatic heart valve stenosis,SNOMED
28284007,Rheumatic heart valve stenosis with incompetence,SNOMED
28284007,Rheumatic heart valve stenosis with insufficiency,SNOMED
34248003,Rheumatic inflammation,SNOMED
43736008,Rheumatic left ventricular failure,SNOMED
59464004,Rheumatic mitral AND aortic valve incompetence,SNOMED
59464004,Rheumatic mitral AND aortic valve insufficiency,SNOMED
370141003,Rheumatic mitral AND aortic valve obstruction,SNOMED
59464004,Rheumatic mitral AND aortic valve regurgitation,SNOMED
6.39451E+14,Rheumatic mitral disease NOS,SNOMED
31085000,Rheumatic mitral incompetence,SNOMED
31085000,Rheumatic mitral insufficiency,SNOMED
31085000,Rheumatic mitral regurgitation,SNOMED
86466006,Rheumatic mitral stenosis,SNOMED
787001,Rheumatic mitral stenosis with incompetence,SNOMED
787001,Rheumatic mitral stenosis with insufficiency,SNOMED
787001,Rheumatic mitral stenosis with regurgitation,SNOMED
44993000,Rheumatic mitral valve and aortic valve stenosis,SNOMED
2.86011E+14,Rheumatic mitral valve annular calcification,SNOMED
83898004,Rheumatic mitral valve changes,SNOMED
83898004,Rheumatic mitral valve disease,SNOMED
40023000,Rheumatic mitral valve failure,SNOMED
81552002,Rheumatic mitral valve insufficiency AND aortic valve stenosis,SNOMED
250999000,Rheumatic mitral valve leaflet changes,SNOMED
86466006,Rheumatic mitral valve obstruction,SNOMED
2.86031E+14,Rheumatic mitral valve prolapse,SNOMED
71799002,Rheumatic mitral valve stenosis AND aortic valve insufficiency,SNOMED
194750008,Rheumatic myocarditis,SNOMED
23685000,Rheumatic pancarditis,SNOMED
28381002,Rheumatic pericarditis,SNOMED
7548000,Rheumatic pneumonia,SNOMED
34126003,Rheumatic pulmonary insufficiency,SNOMED
34126003,Rheumatic pulmonary regurgitation,SNOMED
91442002,Rheumatic pulmonary stenosis,SNOMED
85971001,Rheumatic pulmonary stenosis and insufficiency,SNOMED
18687009,Rheumatic pulmonary valve disease,SNOMED
18687009,Rheumatic pulmonary valve disease NOS,SNOMED
52048004,Rheumatic pulmonary valve failure,SNOMED
34126003,Rheumatic pulmonary valve incompetence,SNOMED
34126003,Rheumatic pulmonary valve insufficiency,SNOMED
91442002,Rheumatic pulmonary valve obstruction,SNOMED
34126003,Rheumatic pulmonary valve regurgitation,SNOMED
91442002,Rheumatic pulmonary valve stenosis,SNOMED
85971001,Rheumatic pulmonary valve stenosis with incompetence,SNOMED
85971001,Rheumatic pulmonary valve stenosis with insufficiency,SNOMED
85971001,Rheumatic pulmonary valve stenosis with regurgitation,SNOMED
67696008,Rheumatic tricuspid insufficiency,SNOMED
67696008,Rheumatic tricuspid regurgitation,SNOMED
88318005,Rheumatic tricuspid stenosis,SNOMED
194741006,Rheumatic tricuspid stenosis and incompetence,SNOMED
194741006,Rheumatic tricuspid stenosis and insufficiency,SNOMED
194741006,Rheumatic tricuspid stenosis and regurgitation,SNOMED
49699002,Rheumatic tricuspid valve disease,SNOMED
49699002,Rheumatic tricuspid valve disease NOS,SNOMED
6.12101E+14,Rheumatic tricuspid valve disease NOS,SNOMED
16855001,Rheumatic tricuspid valve failure,SNOMED
67696008,Rheumatic tricuspid valve incompetence,SNOMED
67696008,Rheumatic tricuspid valve insufficiency,SNOMED
88318005,Rheumatic tricuspid valve obstruction,SNOMED
67696008,Rheumatic tricuspid valve regurgitation,SNOMED
88318005,Rheumatic tricuspid valve stenosis,SNOMED
194741006,Rheumatic tricuspid valve stenosis with regurgitation,SNOMED
16063004,Rheumatic valvulitis,SNOMED
87648004,"Rheumatic valvulitis, chronic NOS",SNOMED
195136004,Rheumatoid myocarditis,SNOMED
233851006,Rickettsial endocarditis,SNOMED
460317007,Rickettsial myocarditis,SNOMED
425177009,Right sided infective endocarditis,SNOMED
426087004,Right-sided Staphylococcus aureus endocarditis,SNOMED
301772008,Risk of subacute bacterial endocarditis,SNOMED
64190005,Rubella myocarditis,SNOMED
195033009,Sarcoid myocarditis,SNOMED
73774007,SBE - Subacute bacterial endocarditis,SNOMED
28386007,Secondary neoplastic pericarditis,SNOMED
279001,Senile myocarditis,SNOMED
44051003,Septic endocarditis,SNOMED
64043005,Septic myocarditis,SNOMED
194956009,Septic myocarditis - pneumococcal,SNOMED
194957000,Septic myocarditis - staphylococcal,SNOMED
194958005,Septic myocarditis - streptococcal,SNOMED
22653005,Septic myocarditis NOS,SNOMED
123599008,Serofibrinous pericarditis,SNOMED
402972001,Skin involvement in bacterial endocarditis,SNOMED
460352004,Spirochaetal myocarditis,SNOMED
460352004,Spirochetal myocarditis,SNOMED
73028002,Staphylococcal endocarditis,SNOMED
73774007,Subacute bact. endocarditis,SNOMED
266237004,Subacute bact. endocarditis,SNOMED
73774007,Subacute bacterial endocarditis,SNOMED
426931009,Subacute bacterial endocarditis prophylaxis,SNOMED
14455008,Subacute constrictive pericarditis,SNOMED
5836005,Subacute effusive constrictive pericarditis,SNOMED
66893008,Subacute endocarditis,SNOMED
420938005,Subacute endocarditis associated with acquired immunodeficiency syndrome,SNOMED
420938005,Subacute endocarditis associated with AIDS,SNOMED
194921005,Subacute endocarditis NOS,SNOMED
48228003,Subacute endopericarditis,SNOMED
723864009,Subacute infective endocarditis,SNOMED
18484008,Subacute interstitial myocarditis,SNOMED
421272004,Subacute myocarditis associated with acquired immunodeficiency syndrome,SNOMED
421272004,Subacute myocarditis associated with AIDS,SNOMED
69589006,Subacute myoendocarditis,SNOMED
194921005,Subacute myoendocarditis NOS,SNOMED
86504008,Subacute pericarditis,SNOMED
48228003,Subacute periendocarditis,SNOMED
194921005,Subacute periendocarditis NOS,SNOMED
46826000,Sydenham's chorea,SNOMED
58056005,Syphilis of mitral valve,SNOMED
45058001,Syphilis of pulmonary valve,SNOMED
42770003,Syphilis of tricuspid valve,SNOMED
20735004,Syphilis-associated aortitis,SNOMED
12232008,Syphilitic aneurysm of aorta,SNOMED
12232008,Syphilitic aortic aneurysm,SNOMED
61612001,Syphilitic aortic incompetence,SNOMED
61612001,Syphilitic aortic regurgitation,SNOMED
82355002,Syphilitic aortic stenosis,SNOMED
20735004,Syphilitic aortitis,SNOMED
12232008,Syphilitic dilatation of aorta,SNOMED
67391006,Syphilitic endocarditis,SNOMED
278480000,Syphilitic endocarditis of aortic valve,SNOMED
67391006,Syphilitic endocarditis of heart valve NOS,SNOMED
186875004,Syphilitic endocarditis of mitral valve,SNOMED
186878002,Syphilitic endocarditis of pulmonary valve,SNOMED
186877007,Syphilitic endocarditis of tricuspid valve,SNOMED
67391006,Syphilitic endocarditis of unspecified valve,SNOMED
4082005,Syphilitic myocarditis,SNOMED
3589003,Syphilitic pericarditis,SNOMED
233849007,Syphilitic valve disease,SNOMED
9.4851E+13,Syphilitic valvular endocarditis,SNOMED
309762007,Systemic lupus erythematosus with pericarditis,SNOMED
194908003,TB - acute pericarditis,SNOMED
400130008,Temporal giant cell arteritis,SNOMED
31993003,Toxic myocarditis,SNOMED
187195003,Toxoplasma myocarditis,SNOMED
67696008,Tricuspid incompetence - rheumatic,SNOMED
460464006,Tuberculous constrictive pericarditis,SNOMED
67256000,Tuberculous pericarditis,SNOMED
460440005,Tuberculous pericarditis with pericardial effusion,SNOMED
44051003,Ulcerative endocarditis,SNOMED
80119007,Uraemic pericarditis,SNOMED
80119007,Uremic pericarditis,SNOMED
89736004,Valvular endocarditis,SNOMED
86100009,Vegetative endocarditis,SNOMED
472807003,Ventricular septal defect due to and following infective endocarditis,SNOMED
472807003,Ventricular septal defect due to endocarditis,SNOMED
86100009,Verrucous endocarditis,SNOMED
460450006,Viral constrictive pericarditis,SNOMED
459057007,Viral endocarditis,SNOMED
89141000,Viral myocarditis,SNOMED
70189005,Viral pericarditis,SNOMED
275513007,Viral pericarditis - virus unidentified,SNOMED
460445000,Viral pericarditis with pericardial effusion,SNOMED
